KODE;NAMA;SAT;SAT2;KONVSAT2;SAT3;KONVSAT3;SAT4;KONVSAT4;SAT5;KONVSAT5;SAT6;KONVSAT6;SAT7;KONVSAT7;SAT8;KONVSAT8;SAT9;KONVSAT9;SAT10;KONVSAT10;HARGABELI;HPP;HARGAJUAL1;MINQTY;HARGAJUAL2;MINQTY2;HARGAJUAL3;MINQTY3;
8992741941280;yupi roletto mix;pcs;pcs;1;ktk;24;;0;;0;;0;;0;;0;;0;;0;875;0;1000;0;0;0;0;0;
8992741942362;yupi little stars;PCS;PCS;1;ktk;43;;0;;0;;0;;0;;0;;0;;0;438;0;500;0;0;0;0;0;
8992741943703;YUPI AQUARIUM;PCS;PCS;1;KTK;84;;0;;0;;0;;0;;0;;0;;0;875;0;1000;0;0;0;0;0;
8992741943741;YUPI  BOLICIOUS  GRAPE;PCS;PCS;1;KTK;48;;0;;0;;0;;0;;0;;0;;0;447;0;500;0;0;0;0;0;
8992741944465;YUPI GUMMY COOKIES;PCS;PCS;1;KOTAK;288;;0;;0;;0;;0;;0;;0;;0;438;0;1000;0;0;0;0;0;
8992741948708;yupi gummy fangs;pcs;pcs;1;ktk;192;;0;;0;;0;;0;;0;;0;;0;438;0;500;0;0;0;0;0;
8992741962292;YUPI MELON;PCS;PCS;1;ktk;72;;0;;0;;0;;0;;0;;0;;0;447;0;1000;0;0;0;0;0;
8992741963633;yupi poppin'pazz;pcs;pcs;1;ktk;24;;0;;0;;0;;0;;0;;0;;0;875;0;1000;0;0;0;0;0;
8992741972710;yupi burger max;pcs;pcs;1;ktk;24;;0;;0;;0;;0;;0;;0;;0;875;0;1000;0;0;0;0;0;
8992741983778;yupi ice cream core;PCS;pcs;1;ktk;48;;0;;0;;0;;0;;0;;0;;0;438;0;1000;0;0;0;0;0;
8992741986175;YUPI BERRI BONZ;PCS;PCS;1;KTK;72;;0;;0;;0;;0;;0;;0;;0;447;0;1000;0;0;0;0;0;
8992745120407;HIT Anti nyamuk BTL;PCS;pcs;1;BTL;6;;0;;0;;0;;0;;0;;0;;0;18000;0;25000;0;0;0;0;0;
8992745140955;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;
8992745140962;HIT;BTL;BTL;1;KTK;12;;0;;0;;0;;0;;0;;0;;0;31000;0;35000;0;0;0;0;0;
8992745320067;STELLA FRUITY APPLE DAN ORANGE;PCS;PCS;1;KTK;18;;0;;0;;0;;0;;0;;0;;0;9150;0;11000;0;0;0;0;0;
8992745480419;HIT KECIL  150ml;PCS;PCS;1;KTK;24;;0;;0;;0;;0;;0;;0;;0;10791;0;13000;0;0;0;0;0;
8992747180102;vixal 470ml;PCS;pcs;1;pcs;12;;0;;0;;0;;0;;0;;0;;0;13333;0;15000;0;0;0;0;0;
8992747180225;VIXAL BOTOL 750ML;PCS;PCS;1;KTN;10;;0;;0;;0;;0;;0;;0;;0;19000;0;21000;0;0;0;0;0;
8992752011057;VIT BESAR;PCS;PCS;1;PCS;12;;0;;0;;0;;0;;0;;0;;0;2958;0;5000;0;0;0;0;0;
8992752112013;MIZONE;PCS;PCS;1;PCS;12;;0;;0;;0;;0;;0;;0;;0;4650;0;7000;0;0;0;0;0;
8992753005499;FRISIAN FLAG;PCS;PCS;1;LSN;22;;0;;0;;0;;0;;0;;0;;0;16667;0;19000;0;0;0;0;0;
8992753182206;susu uht bendera;pcs;pcs;1;lsn;18;;0;;0;;0;;0;;0;;0;;0;4500;0;6000;0;0;0;0;0;
8992753184200;susu uht bendera stoberi;pcs;pcs;1;lsn;18;;0;;0;;0;;0;;0;;0;;0;4500;0;6000;0;0;0;0;0;
8992759124354;TISU NICE 360NN HELAI;PCS;PCR;1;LSN;66;;0;;0;;0;;0;;0;;0;;0;5783;0;7500;0;0;0;0;0;
8992760221028;OREO ORIGINAL;PCS;PCS;1;PCS;7;;0;;0;;0;;0;;0;;0;;0;7750;0;10000;0;0;0;0;0;
8992760223015;OREO CHOCOLATE CREAM;PCS;PCS;1;PCS;5;;0;;0;;0;;0;;0;;0;;0;7750;0;2000;0;0;0;0;0;
8992761002022;SPRITE  LEMON 390 ML;PCS;PCS;1;KRAT;12;;0;;0;;0;;0;;0;;0;;0;4000;0;6000;0;0;0;0;0;
8992761002039;Fanta 390 ML;BTL;pcs;1;CRN;12;;0;;0;;0;;0;;0;;0;;0;4000;0;6000;0;0;0;0;0;
8992761136017;COCA COLA1,5L;PCS;PCS;1;BTL;3;;0;;0;;0;;0;;0;;0;;0;5500;0;10000;0;0;0;0;0;
8992761136031;SPRITE 1,5L;PCS;PCS;1;BTL;3;;0;;0;;0;;0;;0;;0;;0;10800;0;13500;0;0;0;0;0;
8992761136185;FANTA 1L;PCS;PCS;1;BTL;12;;0;;0;;0;;0;;0;;0;;0;8833;0;10000;0;0;0;0;0;
8992761166038;pulpy orange;PCS;pcs;1;lsn;24;;0;;0;;0;;0;;0;;0;;0;4416;0;6000;0;0;0;0;0;
8992770034229;MASAKO 123g;PCS;PCS;1;LSN;48;;0;;0;;0;;0;;0;;0;;0;4354;0;5000;0;0;0;0;0;
8992770061065;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;
8992770084064;SAJIKU220G;PCS;PCS;1;KOTAK;40;;0;;0;;0;;0;;0;;0;;0;5625;0;7000;0;0;0;0;0;
8992770094117;SAORI SAOS TIRAM;PCS;PCS;1;RTG;60;;0;;0;;0;;0;;0;;0;;0;2100;0;2500;0;0;0;0;0;
89927717781025;SANTAN KARA;PCS;PCS;1;KRN;56;;0;;0;;0;;0;;0;;0;;0;4639;0;6000;0;0;0;0;0;
8992772198011;KISPRAY AMONIS;BKS;BKS;1;0,5KRN;6;;0;;0;;0;;0;;0;;0;;0;9333;0;10500;0;0;0;0;0;
8992772198073;KISPRAY FINE PERFUME;PCS;PCS;1;0,5KRN;6;;0;;0;;0;;0;;0;;0;;0;9333;0;10500;0;0;0;0;0;
8992772311014;SOFFEL SS;PCS;PCS;1;RTG;6;;0;;0;;0;;0;;0;;0;;0;10833;0;2000;0;0;0;0;0;
